b m	'v,ih'	'ax,ae'	'ae,s'
f m	'v,ih'	'ax,ae'	't,eh'
d hh	'v,ih'	'ax,ae'	't,eh'
p d	'v,ih'	'ax,ae'	'ae,s'
p hh	'v,ih'	'ax,ae'	'ax,ih'
r d	'v,ih'	'eh,hh'	't,eh'
r hh	'v,ih'	't,eh'	'eh,ax'
s d	'v,ih'	'ax,ae'	'eh,hh'
s hh	'v,ih'	'ax,ae'	't,eh'
b d	'v,ih'	'ax,ae'	'ae,s'
b hh	'v,ih'	'ax,ae'	't,eh'
hh m	'v,ih'	'ax,ae'	't,eh'
n hh	'ax,ae'	'eh,ax'	'ax,ih'
n m	'ax,ae'	'ae,s'	'eh,hh'
d l	'v,ih'	'ax,ae'	'eh,hh'
hh l	'v,ih'	'ax,ae'	't,eh'
k d	'ax,ae'	'ae,s'	'eh,ax'
k hh	'ax,ae'	'eh,ax'	'ax,ih'
k l	'ax,ae'	'ae,s'	's,aa'
v d	'v,ih'	'ax,ae'	'ae,s'
v hh	'v,ih'	'ax,ae'	'eh,ax'
v l	'v,ih'	'ax,ae'	'ae,s'
w d	'v,ih'	't,eh'	'ax,ih'
w hh	'v,ih'	't,eh'	'ax,ih'
w l	'v,ih'	'ax,uh'	's,aa'
d m	'v,ih'	'ax,ae'	'ae,s'
g d	'ax,ae'	'ax,ih'	'eh,z'
g hh	'ax,ae'	'ax,ih'	's,ih'
g m	'ax,ae'	't,eh'	'ax,ih'
z d	'v,ih'	'ax,ae'	'ae,s'
t d	'v,ih'	'ax,ae'	'ae,s'
t hh	'v,ih'	'ax,ae'	'eh,ax'
f d	'v,ih'	'ax,ae'	't,eh'
f hh	'v,ih'	'ax,ae'	'ax,ih'
z hh	'v,ih'	'ax,ae'	'eh,ax'
b l	'v,ih'	'ax,ae'	'ae,s'
l m	'v,ih'	'ax,ae'	'ae,s'
r m	'v,ih'	'eh,hh'	't,eh'
v m	'v,ih'	'ax,ae'	'ae,s'
w m	'v,ih'	't,eh'	's,eh'
z m	'v,ih'	'ax,ae'	'ae,s'
r b	'v,ih'	'aa,d'	't,eh'
s b	'v,ih'	'ax,ae'	't,eh'
w b	'v,ih'	't,eh'	's,eh'
n b	'ax,ae'	'aa,d'	'ae,s'
g b	'ax,ih'	'd,ao'	't,aa'
v b	'v,ih'	'ax,ae'	'ae,s'
z b	'v,ih'	'ax,ae'	'ae,s'
p b	'v,ih'	'ax,ae'	'ae,s'
t b	'v,ih'	'ax,ae'	'ae,s'
r f	'v,ih'	't,eh'	'eh,ax'
s f	'v,ih'	'ax,ae'	't,eh'
w f	'v,ih'	'ax,uh'	's,aa'
z f	'v,ih'	'ax,ae'	'eh,ax'
b f	'v,ih'	'ax,ae'	'ax,ih'
v f	'v,ih'	'ax,ae'	'eh,ax'
r s	'v,ih'	't,eh'	'eh,ax'
p s	'v,ih'	'ax,ae'	'eh,ax'
t p	'v,ih'	'ax,ae'	'ae,s'
t s	'v,ih'	'ax,ae'	't,eh'
w r	'v,ih'	't,eh'	'ax,ih'
w s	'v,ih'	't,eh'	'ax,ih'
z r	'v,ih'	'aa,d'	'g,ih'
z s	'v,ih'	'ax,ae'	'eh,ax'
v r	'v,ih'	'eh,ax'	'ih,hh'
p r	'v,ih'	'eh,ax'	'eh,s'
k w	's,aa'	't,eh'	's,eh'
v w	'v,ih'	's,eh'	'ax,ih'
z w	'v,ih'	'ax,ih'	'd,ao'
z v	'v,ih'	'ax,ae'	'ae,s'
k v	'ax,ae'	'ae,s'	'eh,ax'
n k	'ax,ae'	'ae,s'	'eh,ax'
p k	'ax,ae'	'ae,s'	'eh,ax'
n l	'ax,ae'	'ae,s'	'eh,hh'
z k	'ax,ae'	'ae,s'	'eh,ax'
z l	'ax,ae'	'ae,s'	'eh,ax'
m k	'ax,ae'	'ae,s'	't,eh'
t k	'ax,ae'	'ae,s'	's,aa'
t l	'ax,ae'	'ae,s'	's,aa'
r n	'aa,d'	'aa,sh'	'eh,hh'
s n	'ax,ae'	'eh,hh'	'eh,ax'
z n	'ax,ae'	'aa,d'	'ae,s'
p n	'ax,ae'	'ae,s'	'eh,ax'
b k	'ax,ae'	'ae,s'	't,eh'
p l	'ax,ae'	'ae,s'	'ax,uh'
d n	'ax,ae'	'ae,s'	'eh,hh'
l s	'ax,ae'	'eh,hh'	't,eh'
m s	'ax,ae'	'eh,hh'	't,eh'
p m	'ax,ae'	'ae,s'	'eh,ax'
t m	'ax,ae'	'ae,s'	't,eh'
t n	'ax,ae'	'aa,d'	'ae,s'
v n	'ax,ae'	'ae,s'	'eh,ax'
v s	'ax,ae'	'eh,ax'	'ah,b'
k s	'ax,ae'	't,eh'	'eh,ax'
f l	'ax,ae'	'ax,uh'	't,eh'
f n	'ax,ae'	'eh,ax'	'ih,hh'
p f	'ax,ae'	'ax,uh'	's,aa'
t f	'ax,ae'	's,aa'	't,eh'
f k	'ax,ae'	't,eh'	'eh,ax'
g f	'ax,ae'	'ax,uh'	't,eh'
g k	'ax,ae'	't,eh'	'ax,ih'
g l	'ax,ae'	'ax,uh'	't,eh'
g n	'ax,ae'	'ax,ih'	'eh,z'
g s	'ax,ae'	't,eh'	'ax,ih'
g z	'ax,ae'	'ax,ih'	'd,ao'
p z	'ax,ae'	'ae,s'	'eh,ax'
t z	'ax,ae'	'aa,d'	'ae,s'
y b	'ax,ih'	't,ih'	't,ao'
y f	't,eh'	'd,ao'	'ax,ao'
y l	't,eh'	'ax,ih'	'd,ao'
y m	't,eh'	'ax,ih'	'd,ao'
y n	'ax,ih'	't,ih'	'ax,ah'
v p	'ax,ae'	'ae,s'	'eh,ax'
g p	'ax,ae'	'ax,uh'	's,aa'
w p	'ax,uh'	's,aa'	's,eh'
y p	'ax,ih'	'ax,ao'	't,ih'
g t	'ax,ae'	's,aa'	't,eh'
y v	'ax,ih'	'z,eh'	'd,eh'
v t	'ax,ae'	'ae,s'	'eh,ax'
w g	'ax,uh'	's,aa'	't,eh'
l r	't,eh'	'eh,ax'	'eh,s'
r t	'aa,d'	'eh,hh'	't,eh'
s aa	'k,t'	'd,t'	'ax,p'
t w	's,aa'	't,eh'	's,eh'
n w	'g,ih'	'ax,ih'	'ax,ao'
r k	't,eh'	'eh,ax'	'eh,s'
d y	't,eh'	'ax,ih'	'ax,ao'
hh y	't,eh'	'ax,ih'	'ax,ao'
r y	't,eh'	'ax,ih'	'd,ao'
s y	't,eh'	'ax,ih'	'd,ao'
w y	't,eh'	'ax,ih'	'd,ao'
r g	't,eh'	'ax,ih'	'd,ao'
y k	't,eh'	'ax,ih'	'd,ao'
g y	't,eh'	'ax,ih'	'd,ao'
t y	't,eh'	'ax,ih'	'd,ao'
t aa	'k,t'	's,f'	'ax,p'
v g	'ax,ih'	't,ih'	'ax,eh'
