Contrasts	Context
t m	['o,u', 'e,e', 'ɔ,i', 'i,i', 't,ɛ', 'ə,u', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 'a,u', 'ɛ,b', 'i,a', 'a,e', 'e,ɔ', 'o,ɔ', 'ɛ,p', 'ɛ,i', 'i,e', 'i,o', 's,ɛ', 'i,s', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'o,i', 'ə,i', 'u,a', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,e', 'ɔ,a', 'a,ɔ', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'ɛ,u', 'ɛ,s']
ʒ t	['o,u', 'ɔ,i', 'i,i', 'ə,u', 'i,ɛ', 'o,ɛ', 'ə,ə', 'a,s', 'a,u', 'i,a', 'a,e', 's,e', 'œ̃,ɛ', 'e,u', 'a,d', 'i,e', 'ə,ɛ', 'a,ɛ', 'a,œ', 'ə,i', 'u,e', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'u,u', 'ɛ,a', 'e,a', 'e,i', 'ə,e', 'a,ɔ', 'e,ɛ', 'a,i', 'e,e', 'a,a']
k n	['o,u', 'i,i', 'ə,u', 'i,ɛ', 'ɔ,d', 'ə,ə', 'e,a', 'a,u', 'i,a', 'œ̃,a', 'a,ə', 'a,e', 'e,ɔ', 'o,ɔ', 'ɛ,p', 'e,u', 'ɛ,i', 'i,e', 'ə,ɛ', 'ø,u', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ɛ,t', 'v,i', 'e,ə', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,e', 'u,u', 'ɛ,a', 'e,i', 's,ə', 'ɛ,f', 'ə,ɔ', 'e,o', 'ɛ,ə', 'ɛ,v', 'ɔ,a', 'a,ɔ', 'i,u', 'i,ə', 'e,ɛ', 'a,i', 'a,a', 'ɛ,s']
k p	['o,u', 'i,i', 'ə,u', 't,u', 'e,ɛ', 'i,ɛ', 'ə,ə', 'e,a', 'a,u', 'i,a', 'œ̃,a', 'a,e', 'e,ɔ', 'u,ɛ', 's,a', 'e,u', 's,ɛ', 't,a', 'ə,ɛ', 'ɛ,ɛ', 'œ̃,ɔ', 'o,a', 'a,ɛ', 'ɛ,t', 'ə,i', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'e,o', 'ə,ɔ', 's,i', 'a,ɔ', 'i,u', 'ø,ɔ', 'a,i', 'a,a', 's,ɔ', 'a,t', 'ɛ,s']
m p	['o,u', 'ɔ,i', 'i,i', 'ə,u', 'ɔ,t', 't,u', 'e,ɛ', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'a,u', 'i,a', 'a,e', 'e,ɔ', 'a,d', 'i,e', 'a,o', 's,ɛ', 't,a', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'z,a', 'o,a', 'a,ɛ', 'o,i', 'ə,i', 'u,a', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,ø', 'e,o', 'ə,ɔ', 'ə,e', 'ɔ,o', 'a,ɔ', 'a,i', 'ɛ,e', 'ø,a', 'e,e', 'a,a']
t p	['o,u', 'ɔ,i', 'i,i', 'ə,u', 'u,d', 'e,ɛ', 'i,ɛ', 'ɛ,ɔ', 'e,a', 'a,u', 'i,a', 'a,e', 'e,ɔ', 'u,ɛ', 's,e', 's,a', 'œ̃,ɛ', 'e,u', 'a,d', 'i,e', 'a,o', 's,ɛ', 'ə,ɛ', 's,o', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'a,œ', 'o,i', 'ə,i', 'u,e', 'u,a', 'ə,a', 'ɔ,e', 'u,u', 'ɛ,a', 'e,i', 'ə,ɔ', 'ə,e', 's,u', 's,i', 'a,ɔ', 'i,u', 'a,i', 'ɛ,e', 'e,e', 'a,a', 's,ɔ', 'ɛ,u', 'ɛ,s']
k b	['o,u', 'ə,u', 'e,ɛ', 'ɔ,s', 'ə,ə', 'a,s', 'e,a', 'a,u', 'i,a', 'a,ə', 'e,u', 't,a', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'ə,a', 'ɛ,a', 'e,i', 'e,o', 'ə,ɔ', 'ɔ,a', 'a,ɔ', 'i,u', 'a,i', 'a,a']
ʒ b	['o,u', 'ɔ,i', 'ə,u', 'ə,ə', 'a,s', 'a,u', 'a,ə', 'e,u', 'ə,ɛ', 'a,ɛ', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,a', 'ə,e', 'a,ɔ', 'a,i', 'a,a']
b n	['o,u', 'ɔ,i', 'ə,u', 'ɔ,s', 'ə,ə', 'e,a', 'a,u', 'i,a', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,ɔ', 'ɔ,a', 'a,ɔ', 'i,u', 'a,i', 'a,a']
p n	['o,u', 'ɔ,i', 'i,i', 'ɔ,ɔ', 'ə,u', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'a,u', 'i,a', 'œ̃,a', 'a,e', 'e,ɔ', 'e,u', 'i,e', 'a,o', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'œ̃,ɔ', 'a,ɛ', 'ɛ,t', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,ɔ', 'ə,e', 'e,o', 'a,ɔ', 'e,ɛ', 'a,i', 'ɛ,e', 'e,e', 'a,a', 'ɛ,u']
t n	['o,u', 'e,e', 'ɔ,i', 'i,i', 't,ɛ', 'ɔ,ɔ', 'ə,u', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,u', 'i,a', 'œ̃,a', 'a,e', 'e,ɔ', 'o,ɔ', 'ɛ,p', 'e,u', 'ɛ,i', 'i,e', 'a,o', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'ɛ,t', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'ɛ,f', 'ə,ɔ', 'ə,e', 'ɔ,a', 'a,ɔ', 'i,u', 'ɛ,o', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'o,e', 'ɛ,u', 'ɛ,s']
ɡ m	['o,u', 'ə,u', 'i,a', 'a,ɛ', 'ə,a', 'œ̃,u', 'e,a', 'a,a']
b p	['o,u', 'ɔ,i', 'ə,u', 'e,ɛ', 'ə,ə', 'e,a', 'a,u', 'i,a', 't,a', 'ə,ɛ', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,o', 'ə,ɔ', 'a,ɔ', 'i,u', 'a,i', 'a,a']
n p	['o,u', 'ɔ,i', 'i,i', 'ɔ,ɔ', 'ə,u', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'a,u', 'i,a', 'œ̃,a', 'a,e', 'e,ɔ', 'e,u', 'i,e', 'a,o', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'œ̃,ɔ', 'a,ɛ', 'ɛ,t', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 'e,o', 'ə,ɔ', 'ə,e', 'a,ɔ', 'e,ɛ', 'a,i', 'ɛ,e', 'e,e', 'a,a', 'ɛ,u']
n b	['o,u', 'ɔ,i', 'ə,u', 'ɔ,s', 'ə,ə', 'e,a', 'a,u', 'i,a', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,ɔ', 'ɔ,a', 'a,ɔ', 'i,u', 'a,i', 'a,a']
p b	['o,u', 'ɔ,i', 'ə,u', 'e,ɛ', 'ə,ə', 'e,a', 'a,u', 'i,a', 't,a', 'ə,ɛ', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,o', 'ə,ɔ', 'a,ɔ', 'i,u', 'a,i', 'a,a']
t b	['o,u', 'ɔ,i', 'ə,u', 'a,s', 'e,a', 'a,u', 'i,a', 'ə,ɛ', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,e', 'ɔ,a', 'a,ɔ', 'i,u', 'a,i', 'a,a']
m d	['e,e', 'ɔ,i', 'i,i', 'u,ə', 'ə,u', 't,e', 'e,ɛ', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,ɔ', 'œ̃,ɛ', 'ɛ,i', 'i,e', 'o,ə', 'ə,ɛ', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ə,i', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'ə,ø', 'i,ɔ', 'ə,ɔ', 't,ɔ', 'ə,e', 'i,ə', 'a,i', 'ɛ,e', 'ø,a', 'a,a']
n d	['e,e', 'ɔ,i', 'i,i', 'u,ə', 'ə,u', 'i,ɛ', 'ə,ə', 'e,a', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,ɔ', 't,ə', 'e,u', 'ɛ,i', 'i,e', 'a,o', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'e,ə', 'ə,i', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'i,ɔ', 'ə,ɔ', 'ə,e', 'ɛ,ə', 'a,ɔ', 'ʒ,ə', 'i,u', 'i,ə', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'o,e']
l d	['e,e', 'ɔ,i', 'i,i', 'u,ə', 'u,e', 't,e', 'a,ø', 'k,ə', 'ɛ,e', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'a,ə', 'ø,ə', 'a,e', 'e,ɔ', 'u,ɛ', 't,ə', 'ɛ,i', 'i,e', 'a,o', 'ɡ,ə', 'o,ə', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'e,ə', 'ə,i', 'k,e', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'i,ɔ', 'ə,ɔ', 's,e', 'ə,e', 'b,ə', 'ɛ,ə', 'a,ɔ', 'ʒ,ə', 'i,u', 'i,ə', 'e,ɛ', 'a,i', 'a,a']
d t	['e,e', 'ɔ,i', 'i,i', 't,ɛ', 'ə,u', 'k,ə', 'i,ɛ', 'o,ɛ', 'ə,ə', 'ɛ,ɔ', 'a,u', 'i,a', 'a,e', 'u,ɛ', 's,e', 'œ̃,ɛ', 'e,u', 'ɛ,i', 'i,e', 'e,ɔ', 'a,o', 's,ɛ', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'ʒ,e', 'o,i', 'ə,i', 'u,e', 'k,e', 'i,d', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'ə,e', 'a,ɔ', 'i,u', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'o,e', 's,ɔ']
t d	['e,e', 'ɔ,i', 'i,i', 't,ɛ', 'ə,u', 'k,ə', 'i,ɛ', 'o,ɛ', 'ə,ə', 'ɛ,ɔ', 'a,u', 'i,a', 'a,e', 'u,ɛ', 's,e', 'œ̃,ɛ', 'e,u', 'ɛ,i', 'i,e', 'e,ɔ', 'a,o', 's,ɛ', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'ʒ,e', 'o,i', 'ə,i', 'u,e', 'k,e', 'i,d', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'ə,e', 'a,ɔ', 'i,u', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'o,e', 's,ɔ']
s ʁ	['e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ə,u', 'b,ɛ', 't,e', 'ɔ,f', 'ɔ,t', 'b,t', 'k,ə', 't,u', 'i,ɛ', 'o,ɛ', 'u,t', 'a,p', 'u,p', 'e,ø', 'ə,ə', 'ɛ,ɔ', 'e,a', 't,i', 'u,s', 'a,u', 'i,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,e', 't,ə', 'e,u', 'b,ɔ', 'a,d', 'ɛ,i', 'i,e', 'u,i', 'i,o', 'o,ə', 't,a', 'u,k', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'œ̃,ɔ', 'i,t', 'd,a', 'o,a', 'a,ɛ', 'ɛ,t', 'o,i', 'e,ə', 'ə,i', 'u,e', 'u,a', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'ɛ,a', 'i,p', 'e,i', 'ə,ɔ', 't,ɔ', 'ə,e', 'ɛ,ə', 'ɛ,v', 'a,ɔ', 'k,ɛ', 't,p', 'i,ə', 'ɛ,o', 'e,ɛ', 'k,i', 'a,i', 'ɛ,e', 'a,a', 'a,t', 'b,k', 'ɔ,k', 'ɛ,u', 'ɛ,s']
d l	['e,e', 'ɔ,i', 'i,i', 'u,ə', 'u,e', 'a,ø', 'k,ə', 'ɛ,e', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'a,ə', 'ø,ə', 'a,e', 'e,ɔ', 'u,ɛ', 't,ə', 'ɛ,i', 'i,e', 'a,o', 'ɡ,ə', 'o,ə', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 't,e', 'e,ə', 'ə,i', 'k,e', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'i,ɔ', 'ə,ɔ', 's,e', 'ə,e', 'b,ə', 'ɛ,ə', 'a,ɔ', 'ʒ,ə', 'i,u', 'i,ə', 'e,ɛ', 'a,i', 'a,a']
p ʁ	['e,e', 'k,a', 'ɔ,i', 'i,i', 'ɔ,ɔ', 'ə,u', 'v,a', 'ɔ,t', 'u,d', 't,u', 'e,ɛ', 'i,ɛ', 'e,ø', 'ə,ə', 'e,a', 'a,u', 'i,a', 'a,e', 'e,ɔ', 'u,ɛ', 's,e', 's,a', 'e,u', 'a,d', 'i,e', 'u,i', 's,ɛ', 't,a', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'u,e', 'u,a', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'ə,ɔ', 't,ɔ', 'ə,e', 'e,o', 'a,ɔ', 'ɛ,o', 'a,i', 'ɛ,e', 'a,a', 'a,t', 'ɛ,u', 'ɛ,s']
n s	['e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ə,u', 'i,ɛ', 'ə,ə', 't,i', 'a,u', 'i,a', 'œ̃,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 't,ə', 'e,u', 'ɛ,i', 'i,e', 'a,o', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ɛ,t', 'e,ə', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'i,ɔ', 'ə,ɔ', 't,ɔ', 'ə,e', 'ɛ,ə', 'ɛ,v', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'ɛ,u']
d n	['e,e', 'ɔ,i', 'i,i', 'u,ə', 'ə,u', 'i,ɛ', 'ə,ə', 'e,a', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,ɔ', 't,ə', 'e,u', 'ɛ,i', 'i,e', 'a,o', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'e,ə', 'ə,i', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'i,ɔ', 'ə,ɔ', 'ə,e', 'ɛ,ə', 'a,ɔ', 'ʒ,ə', 'i,u', 'i,ə', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'o,e']
m n	['e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ɔ,ɔ', 'ə,u', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,ɔ', 'o,ɔ', 'ɛ,p', 'i,e', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'k,u', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'i,ɔ', 'ə,ɔ', 't,ɔ', 'ə,e', 'ɔ,a', 'i,ə', 'ɛ,o', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'ɛ,s']
s n	['e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ə,u', 'i,ɛ', 'ə,ə', 't,i', 'a,u', 'i,a', 'œ̃,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 't,ə', 'e,u', 'ɛ,i', 'i,e', 'a,o', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ɛ,t', 'e,ə', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'i,ɔ', 'ə,ɔ', 't,ɔ', 'ə,e', 'ɛ,ə', 'ɛ,v', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'ɛ,u']
l p	['e,e', 'k,a', 'ɔ,i', 'i,i', 'ɔ,ɔ', 'e,ɛ', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'a,e', 'e,ɔ', 'u,ɛ', 's,a', 'a,d', 'i,e', 'a,o', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'a,ɛ', 'a,œ', 'ə,i', 'u,a', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,ɔ', 'a,ɔ', 'i,u', 'a,i', 'ɛ,e', 'a,a', 'ɛ,u', 'ɛ,s']
ʁ p	['e,e', 'k,a', 'ɔ,i', 'i,i', 'ɔ,ɔ', 'ə,u', 'v,a', 'ɔ,t', 'u,d', 't,u', 'e,ɛ', 'i,ɛ', 'e,ø', 'ə,ə', 'e,a', 'a,u', 'i,a', 'a,e', 'e,ɔ', 'u,ɛ', 's,e', 's,a', 'e,u', 'a,d', 'i,e', 'u,i', 's,ɛ', 't,a', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'u,e', 'u,a', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'ə,ɔ', 't,ɔ', 'ə,e', 'e,o', 'a,ɔ', 'ɛ,o', 'a,i', 'ɛ,e', 'a,a', 'a,t', 'ɛ,u', 'ɛ,s']
ʁ s	['e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ə,u', 'b,ɛ', 't,e', 'ɔ,f', 'ɔ,t', 'b,t', 'k,ə', 't,u', 'i,ɛ', 'o,ɛ', 'u,t', 'a,p', 'u,p', 'e,ø', 'ə,ə', 'ɛ,ɔ', 'e,a', 't,i', 'u,s', 'a,u', 'i,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,e', 't,ə', 'e,u', 'b,ɔ', 'a,d', 'ɛ,i', 'i,e', 'u,i', 'i,o', 'o,ə', 't,a', 'u,k', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'œ̃,ɔ', 'i,t', 'd,a', 'o,a', 'a,ɛ', 'ɛ,t', 'o,i', 'e,ə', 'ə,i', 'u,e', 'u,a', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'ɛ,a', 'i,p', 'e,i', 'ə,ɔ', 't,ɔ', 'ə,e', 'ɛ,ə', 'ɛ,v', 'a,ɔ', 'k,ɛ', 't,p', 'i,ə', 'ɛ,o', 'e,ɛ', 'k,i', 'a,i', 'ɛ,e', 'a,a', 'a,t', 'b,k', 'ɔ,k', 'ɛ,u', 'ɛ,s']
d m	['e,e', 'ɔ,i', 'i,i', 'u,ə', 'ə,u', 't,e', 'e,ɛ', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,ɔ', 'œ̃,ɛ', 'ɛ,i', 'i,e', 'o,ə', 'ə,ɛ', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ə,i', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'ə,ø', 'i,ɔ', 'ə,ɔ', 't,ɔ', 'ə,e', 'i,ə', 'a,i', 'ɛ,e', 'ø,a', 'a,a']
n m	['e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ɔ,ɔ', 'ə,u', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,ɔ', 'o,ɔ', 'ɛ,p', 'i,e', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'k,u', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'i,ɔ', 'ə,ɔ', 't,ɔ', 'ə,e', 'ɔ,a', 'i,ə', 'ɛ,o', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'ɛ,s']
p l	['e,e', 'k,a', 'ɔ,i', 'i,i', 'ɔ,ɔ', 'e,ɛ', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'a,e', 'e,ɔ', 'u,ɛ', 's,a', 'a,d', 'i,e', 'a,o', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'a,ɛ', 'a,œ', 'ə,i', 'u,a', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,ɔ', 'a,ɔ', 'i,u', 'a,i', 'ɛ,e', 'a,a', 'ɛ,u', 'ɛ,s']
s m	['e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ə,u', 'a,d', 't,e', 'ɔ,t', 'e,ɛ', 'i,ɛ', 'o,ɛ', 'a,p', 'ə,ə', 'e,a', 'a,u', 'i,a', 'a,ə', 'a,e', 'ɛ,p', 'ɛ,i', 'i,e', 'i,o', 'o,ə', 't,a', 'ə,ɛ', 'ə,œ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'œ̃,ɔ', 'a,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'u,a', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'ɛ,a', 'e,i', 'i,ɔ', 'ə,ɔ', 't,ɔ', 'ə,e', 'œ̃,i', 'i,ə', 'a,i', 'ɛ,e', 'a,a', 'ɔ,k', 'ɛ,u']
e ʁ	['k,a', 't,ɛ', 't,e', 'u,d', 't,œ̃', 'b,d', 'u,t', 'b,i', 'd,p', 'd,s', 'd,f', 't,f', 't,ʒ', 'i,k', 't,v', 's,e', 's,a', 't,o', 't,d', 't,b', 'd,ɔ', 's,ɛ', 't,t', 't,ʃ', 't,a', 'v,d', 't,s', 'i,t', 'd,a', 'ɛ,t', 'd,i', 'd,d', 'ɛ,k', 'i,d', 'a,k', 'd,o', 'd,ɛ', 't,k', 't,ɔ', 'ɛ,v', 'd,k', 'v,k', 't,p', 'ɛ,ʃ', 'a,t']
i ʁ	['k,a', 'b,d', 'd,p', 'd,s', 'd,f', 'u,s', 't,f', 't,ʒ', 't,v', 't,d', 't,b', 'k,d', 's,ɛ', 't,t', 'v,ɛ', 'v,d', 't,s', 'd,a', 'd,d', 'k,e', 'v,ɡ', 't,k', 'd,k', 'v,k', 'k,ɛ', 't,p']
w ʁ	['k,a', 'v,a', 'f,a', 's,a', 'ɡ,a', 't,a', 'd,a', 'b,a', 'p,a']
l t	['k,a', 'ɔ,i', 'i,i', 'ɔ,ɔ', 'k,ə', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 'i,a', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,a', 'a,d', 'ɛ,i', 'i,e', 'i,v', 'a,o', 'ɛ,ʒ', 'i,s', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'i,t', 'a,ɛ', 'a,œ', 'o,i', 'ə,i', 'u,e', 'u,a', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'u,u', 'ɛ,a', 'i,p', 'e,i', 'ɛ,f', 'ə,e', 'ɛ,œ', 'ɔ,a', 's,i', 'a,ɔ', 'k,ɛ', 'i,u', 'ɛ,o', 'e,ɛ', 'k,i', 'a,i', 'ɛ,e', 'p,i', 'e,e', 'a,a', 'ɛ,u', 'ɛ,s', 'i,f']
w l	['k,a', 'f,a', 'e,a', 's,a', 'b,a', 'p,a']
ə l	['k,a', 'k,d', 'k,k', 'k,ɛ']
ə t	['k,a', 's,d', 'k,s', 's,f', 's,ɛ', 's,k', 's,p', 'k,e', 'k,ɛ', 's,s']
ɛ l	['i,s', 'ɛ,d', 'i,t', 'ɛ,t', 'b,s', 'i,d', 'e,a', 'i,p', 'e,ɛ', 'p,i', 'ɛ,s']
ɛ t	['u,d', 's,d', 'k,s', 'u,s', 's,e', 's,a', 's,ɛ', 'i,s', 's,k', 'ɛ,d', 'ɛ,t', 's,p', 'i,d', 'e,a', 'e,ɛ', 'p,i', 'ɛ,s', 's,s']
ʁ t	['k,a', 'ɔ,i', 'i,i', 't,ɛ', 'ɔ,ɔ', 'ə,u', 'p,e', 'u,d', 'k,ə', 'a,f', 'i,ɛ', 'o,ɛ', 'ɔ,d', 'u,p', 'ə,ə', 'ɛ,ɔ', 'a,s', 'u,s', 'a,u', 'ɛ,b', 'i,a', 'u,ø', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,e', 's,a', 'e,u', 'a,d', 'ɛ,i', 'i,e', 'i,o', 's,ɛ', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'u,e', 'u,a', 'k,e', 'a,b', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'ɛ,f', 'ə,ɔ', 'ə,e', 'ɛ,œ', 'ɛ,v', 'ɔ,a', 'a,ɔ', 'k,ɔ', 'ɛ,o', 'e,ɛ', 'k,i', 'ɛ,ʃ', 'a,i', 'ɛ,e', 'p,i', 'e,e', 'a,a', 'ɛ,u', 'ɛ,s']
ʃ l	['e,ɛ', 'i,ɛ', 'ə,ə', 'e,a', 'i,a', 'a,e', 'u,ɛ', 'ɛ,i', 'i,e', 'ə,ɛ', 'ə,o', 'a,ɛ', 'u,e', 'u,a', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 'ɛ,œ', 'k,ɛ', 'ɛ,e', 'e,e', 'a,a']
